TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,390466,390466,1,Riserva naturale controllata Lago San Domenico,Riserva naturale controllata Lago San Domenico,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,0.3,0.530489870832,Not Applicable,0,Designated,2005,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390467,390467,1,Parco naturale del Monte San Giorgio,Parco naturale del Monte San Giorgio,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,3.88,3.88008722489,Not Applicable,0,Designated,2004,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390450,390450,1,Area marina protetta Plemmirio,Area marina protetta Plemmirio,Riserva Naturale Marina e Aree Naturali Marine Protette,Natural Marine Reserve and Natural Protected Marine Areas,National,IV,Not Applicable,2,24.29,24.3308337407,24.29,24.3308337407,Not Reported,0,Designated,2004,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390451,390451,1,"Parco naturale regionale ""Molentargius - Saline""","Parco naturale regionale ""Molentargius - Saline""",Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,V,Not Applicable,0,0,0,15.79,14.6993401117,Not Applicable,0,Designated,1999,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390452,390452,1,Riserva naturale speciale dello stagno di Oulx,Riserva naturale speciale dello stagno di Oulx,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,0.83,0.827483760745,Not Applicable,0,Designated,2004,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390468,390468,1,Riserva naturale Monte Faverghera,Riserva naturale Monte Faverghera,Riserva Naturale Statale,State Nature Reserve,National,IV,Not Applicable,0,0,0,0.14,0.149110023181,Not Applicable,0,Designated,1971,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390469,390469,1,Area naturale protetta di interesse locale Fiume Magra 2 Filattiera,Area naturale protetta di interesse locale Fiume Magra 2 Filattiera,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,V,Not Applicable,0,0,0,3.11,3.09561056137,Not Applicable,0,Designated,2003,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390453,390453,1,Riserva naturale controllata Borsacchio,Riserva naturale controllata Borsacchio,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,11,11.1719075569,Not Applicable,0,Designated,2005,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390454,390454,1,Parco naturale dell'Alto Garda Bresciano,Parco naturale dell'Alto Garda Bresciano,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,56.79,56.8409668757,Not Applicable,0,Designated,2003,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390455,390455,1,Riserva naturale controllata Grotta delle Farfalle,Riserva naturale controllata Grotta delle Farfalle,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,5.1,7.93490972437,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
