id,name,highway,public_tra,operator,shelter,bus,route_ref,network,bench,wheelchair,amenity,railway,website,train,covered,line,route,alt_name,ferry,contact_we,opening_ho,contact_ph,email,contact_mo,station,aeroway,contact_em,contact_fa,official_n,lat,lon,COD_RIP,COD_REG,COD_PROV,COD_CM,COD_PCM,DEN_PROV,DEN_CM,DEN_PCM,SIGLA,Shape_Leng,Shape_Area
2489190760.00000,Andrian Schwimmbad - Lido di Andriano,bus_stop,,SASA,,,NALLES,,,,,,,,,,,,,,,,,,,,,,,46.5220736,11.2276031,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190761.00000,St. Urban Platz - Piazza S. Urbano,bus_stop,,SASA,,,NALLES,,,,,,,,,,,,,,,,,,,,,,,46.5187047,11.2332828,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190762.00000,via Avogadro - Avogadro Straße,bus_stop,,SASA,,,6,,,,,,,,,,,,,,,,,,,,,,,46.4852714,11.3406197,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190763.00000,Berghütten,bus_stop,,SASA,yes,,201,,,,,,,,,,,,,,,,,,,,,,,46.5718339,11.2172289,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190764.00000,Berghütten,bus_stop,,SASA,yes,,201,,,,,,,,,,,,,,,,,,,,,,,46.571898,11.2172799,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190765.00000,Tennis,bus_stop,,SASA,yes,,"201;211;215",,,,,,,,,,,,,,,,,,,,,,,46.6121311,11.1622856,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190766.00000,Tennis,bus_stop,,SASA,,,"201;211;215",,,,,,,,,,,,,,,,,,,,,,,46.6123194,11.1618008,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190767.00000,Leonardo da Vinci Straße - Via Leonardo da Vinci,bus_stop,,SASA,,,"201;211;215",,,,,,,,,,,,,,,,,,,,,,,46.6101261,11.1669592,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190768.00000,Leonardo da Vinci Straße - Via Leonardo da Vinci,bus_stop,,SASA,yes,,"201;211;215",,yes,,,,,,yes,,,,,,,,,,,,,,,46.6104274,11.1665946,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190769.00000,Via Braille - Braille Straße,bus_stop,,SASA,,,6,,,,,,,,,,,,,,,,,,,,,,,46.4729739,11.3282675,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190770.00000,Bronzolo F.S. - Branzoll Bahnhof,bus_stop,,SASA,,,VAD_LAIV,,,,,,,,,,,,,,,,,,,,,,,46.4052555,11.3163047,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190771.00000,Ex Magnesio,bus_stop,,SASA,yes,,10B,,,,,,,,,,,,,,,,,,,,,,,46.4787542,11.3288731,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190772.00000,Via Edison - Edison Straße,bus_stop,,SASA,yes,,10B,,,,,,,,,,,,,,,,,,,,,,,46.4762798,11.3273921,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190773.00000,Via Edison - Edison Straße,bus_stop,,SASA,yes,,10A,,,,,,,,,,,,,,,,,,,,,,,46.4770089,11.327627,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190774.00000,Raut,bus_stop,,SASA,yes,,"201;2",,,,,,,,,,,,,,,,,,,,,,,46.6183808,11.1879547,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190775.00000,Raut,bus_stop,,SASA,yes,,"201;2",,,,,,,,,,,,,,,,,,,,,,,46.6193092,11.18761,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190776.00000,Gewerbezone Winkelau - Zona produttiva Winkelau,bus_stop,,SASA,yes,,"201;215",,,,,,,,,,,,,,,,,,,,,,,46.5967031,11.2004122,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
